reviewId	charcount	overallMerit	reviewerQualification	outcome	paperid
					
906	3149	2	2	-1	329
889	3484	1	4	-1	103
877	5455	3	3	-1	105
817	2502	1	3	-1	174
818	161	1	3	-1	174
819	1298	1	3	-1	345
1174	1858	2	4	-1	345
1178	3319	4	2	2	61
797	2189	1	3	-1	351
865	2551	2	3	-1	50
824	4455	2	4	-1	58
825	3751	1	3	-1	115
1177	2308	1	4	-1	115
816	2647	2	3	-1	60
897	6284	1	4	-1	44
1233	931	1	4	-1	331
904	3938	3	4	-1	272
1107	1248	1	2	-1	324
895	656	1	3	-1	331
1185	1556	4	3	2	270
893	2609	2	4	-1	274
888	2689	2	3	-1	46
873	5322	4	3	-1	392
874	13213	2	3	-1	392
875	8398	2	4	-1	48
847	11855	2	3	-1	111
1202	2715	3	2	2	164
849	1445	1	4	-1	168
851	1140	1	3	-1	225
852	374	1	4	-1	225
722	6059	2	4	-1	310
1142	2400	2	3	-1	367
724	4637	2	4	-1	367
725	2381	3	4	-1	23
1143	826	1	3	-1	23
727	6171	2	4	-1	194
728	1706	2	4	-1	194
1145	2628	3	3	-1	18
731	4711	4	3	2	365
1146	1290	3	3	2	365
733	2204	2	3	-1	78
734	2964	1	3	-1	78
735	5570	3	2	-1	135
1148	14703	2	4	-1	135
737	2989	4	3	-1	192
1150	1570	1	3	-1	192
739	3161	1	3	-1	249
740	2104	1	2	-1	249
1154	2113	2	4	-1	354
743	2107	2	3	-1	19
744	1913	3	3	-1	19
745	4770	2	4	2	76
1153	5104	4	3	2	76
747	2881	4	3	2	133
748	5728	4	3	2	133
749	1354	1	4	-1	190
1144	3238	3	4	-1	308
894	3319	3	3	-1	274
823	1715	1	3	-1	58
892	1772	2	2	-1	160
903	3497	3	3	-1	272
890	540	2	2	-1	103
1191	2509	1	4	-1	44
1103	152	1	1	-1	328
882	3257	3	3	-1	276
899	6701	2	3	-1	101
844	2094	3	2	-1	284
843	3726	2	2	-1	284
1194	3920	2	3	-1	276
1169	4659	2	3	-1	291
794	6897	2	4	-1	237
1173	5145	2	2	-1	176
1229	4046	2	3	-1	294
752	3900	1	4	-1	247
755	2293	2	3	-1	188
1157	1562	1	3	-1	188
757	3662	3	2	-1	302
758	2501	3	2	-1	302
759	2891	4	4	2	359
1158	2510	3	2	2	359
761	692	2	4	-1	15
762	2043	2	3	-1	15
763	2678	2	3	-1	72
